Simulation,Portfolio Size,Return (%),Sharpe Ratio,Portfolio
53,5,89.95276585753099,2.398416478424226,"{'NVDA': 0.6438472587266237, 'PBR': 0.01307390706304747, 'META': 0.2406869061770411, 'VALE': 0.100650583769387, 'BAC': 0.001741344263900697}"
54,4,107.262125452723,1.4305498363599367,"{'COIN': 0.8549625959282029, 'DNA': 0.003767283055217279, 'AMZN': 0.06785041215268192, 'EGO': 0.07341970886389781}"
55,3,82.34195941567283,1.7663622024358654,"{'KO': 0.12191133331466952, 'VALE': 0.03166311178739302, 'HOOD': 0.8464255548979375}"
56,3,91.8458000991735,1.7184662170252787,"{'HOOD': 0.9508501273961806, 'LCID': 0.036094511404273125, 'LYFT': 0.013055361199546337}"
57,3,54.36462139826483,0.5396618262317479,"{'T': 0.09921647405796816, 'LUMN': 0.8999727066300631, 'DNA': 0.0008108193119687033}"
58,8,100.28034446270817,2.6851363845353746,"{'NU': 0.024783182433715606, 'PLTR': 0.30920621652901986, 'AMZN': 0.056143588247054, 'NFLX': 0.11445785478443199, 'AMD': 0.011252951241770783, 'HOOD': 0.05157562088932295, 'NVDA': 0.3680866816370318, 'PINS': 0.06449390423765312}"
59,12,41.7686341214705,1.933521670966518,"{'CSCO': 0.00940481259184969, 'WFC': 0.09715180895016337, 'BABA': 0.020312217107156017, 'VALE': 0.08192656691444562, 'HOOD': 0.20528279089161555, 'GM': 0.12090909664740276, 'UBER': 0.10812619685097785, 'AMZN': 0.15575695426799, 'SNAP': 0.00017722770811581538, 'VZ': 0.06300622207925681, 'KO': 0.016131435886551422, 'MSFT': 0.1218146701044753}"
60,3,30.1245604576512,0.8484798621028206,"{'BAC': 0.028819117176166226, 'PINS': 0.05284208819021588, 'EGO': 0.9183387946336179}"
61,8,50.04985625873191,2.025828763679756,"{'INTC': 0.13464248677972956, 'CSCO': 0.08285913067041796, 'NFLX': 0.1723527988935094, 'EGO': 0.1405157876543776, 'F': 0.05261420892633568, 'AAL': 0.031108388966533538, 'NVDA': 0.31187547160596957, 'DIS': 0.0740317265031266}"
62,4,107.91119648876897,1.655910076996697,"{'DNA': 0.0041313087542058586, 'COIN': 0.5319083772509239, 'HOOD': 0.4565838687526452, 'AMD': 0.0073764452422248935}"
63,4,88.59040909712196,1.8553274791645782,"{'C': 0.05090505927306067, 'LUMN': 0.04801263918669369, 'TSLA': 0.12496719533940077, 'HOOD': 0.7761151062008449}"
64,9,65.4993172484589,1.7579674531343554,"{'LUMN': 0.04646146178753637, 'LYFT': 0.07946404471431572, 'EGO': 0.014575764981656528, 'AAPL': 0.02015061830812915, 'BABA': 0.038693530857199676, 'UBER': 0.20976720656108863, 'RIVN': 0.09839988442424615, 'DIS': 0.13877481739343972, 'PLTR': 0.35371267097238807}"
65,12,41.384900770472214,1.425362986557846,"{'T': 0.019102529532592154, 'META': 0.1594771092707236, 'DIS': 0.13020773996370152, 'MSFT': 0.014568726862753146, 'SNAP': 0.09722320827930485, 'UBER': 0.15228996466912895, 'AMZN': 0.13249381559708392, 'LYFT': 0.04171162435454974, 'VALE': 0.007161874148528219, 'BAC': 0.05362238739012631, 'LUMN': 0.1484496387313496, 'RIVN': 0.043691381200157885}"
66,6,71.70299080869779,2.2926196522048574,"{'NIO': 0.056708013587518924, 'NFLX': 0.28805209891349814, 'EGO': 0.14998790485682398, 'NVDA': 0.474273687548629, 'CCL': 0.021138838657553345, 'INTC': 0.00983945643597674}"
67,10,62.96699123602946,2.450225311991622,"{'GM': 0.030164281647389782, 'SHOP': 0.14339580109347005, 'JPM': 0.14487472040847232, 'NFLX': 0.13555797040623557, 'NVDA': 0.29160662625384476, 'AMZN': 0.13570767658570845, 'CSCO': 0.0024071952668005933, 'GOOG': 0.02071639750194711, 'PBR': 0.06364041648142793, 'LCID': 0.03192891435470341}"
68,8,54.140142555328886,1.5520552930455194,"{'PLUG': 0.04494239228790189, 'LYFT': 0.08890959093623055, 'RIVN': 0.19773078936820632, 'CSCO': 0.01322775467798253, 'NU': 0.3180696140224362, 'JD': 0.04556285580156535, 'F': 0.0012559419528615256, 'NVDA': 0.29030106095281555}"
69,12,55.24575072694673,1.752183871857125,"{'PINS': 0.06408262505638307, 'CCL': 0.022109214557627665, 'UBER': 0.018107455183074685, 'LYFT': 0.10095053358233413, 'DIS': 0.1103370102034107, 'META': 0.2258709563042199, 'COIN': 0.19169322761749744, 'C': 0.01020411166421642, 'EGO': 0.012381103817909548, 'AAL': 0.03488961013401668, 'PLUG': 0.010558792030023774, 'GOOGL': 0.1988153598492859}"
70,12,56.81318909804014,1.5748537239296163,"{'COIN': 0.21963792876828525, 'TSLA': 0.051844170599880494, 'VZ': 0.09598312264755851, 'NFLX': 0.10098624767034382, 'SNAP': 0.05675631331668155, 'LUMN': 0.1678566374566804, 'EGO': 0.022079959897380173, 'DNA': 0.04239546256539455, 'META': 0.0925025669770211, 'INTC': 0.018613860758932396, 'PBR': 0.10762565734930689, 'DIS': 0.02371807199253487}"
71,7,43.42043250040063,1.5953624294733584,"{'EGO': 0.2411379031368882, 'DNA': 0.023757634993113775, 'C': 0.05067919894862211, 'SNAP': 0.05366807118615537, 'NU': 0.43264781450110806, 'RIVN': 0.0656061687601471, 'UBER': 0.1325032084739653}"
72,8,76.69484745141037,2.536534265044732,"{'GOOGL': 0.08506074712439962, 'VALE': 0.032900228813515266, 'META': 0.2686136008978733, 'BAC': 0.11177399101079305, 'NIO': 0.00409376172478191, 'PYPL': 0.03427965266060813, 'AMZN': 0.036238786928310014, 'NVDA': 0.42703923083971884}"
73,5,79.58620925111865,2.3018880431427777,"{'AAPL': 0.014721827048373713, 'JD': 0.04264790700971816, 'NVDA': 0.6530913594951573, 'WFC': 0.06946701519099925, 'CSCO': 0.22007189125575152}"
74,6,29.35139416863832,1.027155423413631,"{'PINS': 0.08196446025012576, 'BABA': 0.02182368377468177, 'WBD': 0.22837077751220916, 'INTC': 0.038371796321909034, 'MSFT': 0.06186069934689855, 'UBER': 0.5676085827941758}"
75,3,102.09970237424632,2.226665055618309,"{'NVDA': 0.8846760278195853, 'INTC': 0.05611208533713922, 'NFLX': 0.059211886843275455}"
76,11,51.17649738620303,1.449116339956583,"{'SNAP': 0.18451219797068408, 'JPM': 0.04837394443147453, 'BABA': 0.005534807072441851, 'PBR': 0.07557204450517312, 'GOOG': 0.12759869156220252, 'PLUG': 0.014852808970046455, 'COIN': 0.20980258116116474, 'DNA': 0.019461889099128712, 'SHOP': 0.05201030400931616, 'SOFI': 0.1418883207811443, 'DIS': 0.12039241043722357}"
77,7,59.230765152553474,1.91088720248414,"{'SHOP': 0.03604390357960268, 'NFLX': 0.21612459875803716, 'NOK': 0.005053029514510432, 'TSLA': 0.3124467522935919, 'KO': 0.01702142999201811, 'NU': 0.20181706614594191, 'CCL': 0.21149321971629773}"
